ts,vaultid,count,means194,stddevs194
1680825600000,1013,533,26.921,4.533
1680825600000,1004,566,19.689,2.843
1680825600000,1018,521,28.564,4.339
1680825600000,1000,547,22.143,2.46
1680825600000,1012,554,30.608,6.318
1680825600000,1006,540,23.059,4.071
1680825600000,1002,570,22.507,2.506
1680825600000,1017,549,28.703,5.486
1680825600000,1015,545,26.666,4.211
1680825600000,1003,554,18.323,2.351
1680825600000,1020,561,26.424,5.312
1680825600000,1010,540,22.109,2.751
1680912000000,1020,544,26.261,5.573
1680912000000,1000,563,22.012,2.453
1680912000000,1002,555,22.523,2.563
1680912000000,1011,541,26.198,6.908
1680912000000,1005,567,20.944,2.566
1680912000000,1001,553,18.208,1.822
1680912000000,1013,557,26.961,4.515
1680912000000,1019,563,27.813,5.289
1680912000000,1018,528,27.947,4.113
1680912000000,1010,556,21.885,2.728
1680912000000,1007,561,25.886,4.685
1680912000000,1004,563,19.625,2.779
1680912000000,1016,541,27.179,5.282
1680912000000,1014,554,26.397,6.037
1680912000000,1012,585,30.515,6.302
1680912000000,1003,568,18.285,2.286
1680912000000,1008,531,30.119,3.913
1680912000000,1015,560,26.393,4.063
1680912000000,1017,546,28.454,5.736
1680912000000,1009,542,27.4,3.154
1680912000000,1006,535,23.013,3.799
1680998400000,1002,550,22.653,2.463
1680998400000,1003,564,18.186,2.29
1680998400000,1017,548,28.422,5.47
1680998400000,1008,556,29.606,3.886
1680998400000,1020,529,26.021,5.471
1680998400000,1004,537,19.629,2.707
1680998400000,1001,541,18.092,1.804
1680998400000,1013,529,26.726,4.534
1680998400000,1007,550,25.764,4.505
1680998400000,1015,553,26.358,3.987
1680998400000,1016,555,27.157,5.262
1680998400000,1019,541,27.776,5.259
1680998400000,1010,536,21.996,2.687
1680998400000,1006,554,22.819,3.71
1680998400000,1012,555,30.555,6.496
1680998400000,1009,567,27.36,3.115
1680998400000,1011,538,26.504,6.998
1680998400000,1018,536,27.991,4.189
1680998400000,1005,546,21.048,2.588
1680998400000,1000,564,22.105,2.319
1680998400000,1014,588,26.395,5.61
1681084800000,1014,530,26.657,6.199
1681084800000,1003,556,18.246,2.179
1681084800000,1017,544,28.478,5.75
1681084800000,1002,571,22.648,2.546
1681084800000,1011,559,26.308,6.831
1681084800000,1016,560,27.264,5.088
1681084800000,1019,559,27.943,5.264
1681084800000,1007,532,25.517,4.497
1681084800000,1004,543,19.586,2.725
1681084800000,1001,557,18.172,1.848
1681084800000,1013,560,26.914,4.483
1681084800000,1010,546,21.875,2.822
1681084800000,1000,534,21.927,2.44
1681084800000,1015,546,26.454,4.007
1681084800000,1009,544,27.256,3.046
1681084800000,1018,534,28.137,4.111
1681084800000,1005,570,21.214,2.727
1681084800000,1012,567,30.534,6.277
1681084800000,1020,523,26.193,5.807
1681084800000,1006,551,22.744,3.672
1681084800000,1008,545,29.297,4.002
1681171200000,1012,565,30.543,6.471
1681171200000,1014,535,26.766,6.151
1681171200000,1008,563,29.368,3.941
1681171200000,1020,542,26.242,5.668
1681171200000,1011,550,26.265,6.676
1681171200000,1001,566,18.216,1.771
1681171200000,1010,567,22.032,2.8
1681171200000,1007,536,25.832,4.553
1681171200000,1009,525,27.105,3.079
1681171200000,1019,542,27.945,5.11
1681171200000,1013,540,27.231,4.738
1681171200000,1016,543,27.398,5.308
1681171200000,1006,563,22.702,3.811
1681171200000,1018,552,28.007,4.104
1681171200000,1015,538,26.314,4.021
1681171200000,1000,565,22.016,2.39
1681171200000,1003,563,18.3,2.229
1681171200000,1002,574,22.544,2.665
1681171200000,1004,556,19.838,2.81
1681171200000,1017,572,28.402,5.412
1681171200000,1005,554,21.17,2.737
1681257600000,1015,568,26.491,4.046
1681257600000,1011,544,26.382,6.608
1681257600000,1005,543,21.298,2.734
1681257600000,1020,560,26.111,5.642
1681257600000,1014,555,26.472,5.854
1681257600000,1010,564,22.215,2.771
1681257600000,1016,562,27.489,5.385
1681257600000,1001,519,18.189,1.789
1681257600000,1013,558,26.944,4.633
1681257600000,1004,579,19.748,2.703
1681257600000,1007,542,25.803,4.558
1681257600000,1003,529,18.229,2.23
1681257600000,1006,556,22.881,3.655
1681257600000,1017,556,28.345,5.277
1681257600000,1018,593,28.008,4.175
1681257600000,1012,571,30.114,5.959
1681257600000,1009,537,27.063,3.033
1681257600000,1002,560,22.47,2.628
1681257600000,1000,534,21.994,2.407
1681257600000,1008,547,29.26,3.926
1681257600000,1019,536,27.793,5.092
1681344000000,1003,561,18.337,2.286
1681344000000,1011,476,26.09,6.876
1681344000000,1017,476,28.107,5.619
1681344000000,1014,507,25.996,5.369
1681344000000,1020,480,25.987,5.439
1681344000000,1019,213,27.873,5.619
1681344000000,1015,561,26.002,3.93
1681344000000,1013,198,26.995,4.829
1681344000000,1001,222,18.221,1.966
1681344000000,1010,196,22.128,2.992
1681344000000,1004,216,19.69,2.755
1681344000000,1007,194,25.629,4.53
1681344000000,1006,553,22.794,3.605
1681344000000,1008,479,28.791,4.102
1681344000000,1012,554,30.684,6.464
1681344000000,1018,559,27.844,4.167
1681344000000,1002,483,22.565,2.567
1681344000000,1016,211,27.588,5.45
1681344000000,1005,488,21.404,2.769
1681344000000,1009,541,26.991,2.801
1681344000000,1000,544,22.061,2.464
1681430400000,1020,568,26.188,5.596
1681430400000,1014,579,26.779,5.964
1681430400000,1010,543,22.112,2.788
1681430400000,1007,577,25.681,4.484
1681430400000,1002,544,22.529,2.539
1681430400000,1016,578,27.753,5.372
1681516800000,1013,543,27.354,4.845
1681516800000,1004,552,19.81,2.733
1681516800000,1010,557,22.07,2.795
1681516800000,1015,544,26.447,4.09
1681516800000,1005,531,21.224,2.779
1681516800000,1011,575,26.732,7.242
1681516800000,1007,554,25.612,4.563
1681516800000,1003,538,18.342,2.278
1681516800000,1006,566,22.864,3.778
1681516800000,1019,541,28.451,5.536
1681516800000,1001,586,18.179,1.823
1681516800000,1000,540,22.106,2.5
1681516800000,1014,556,26.941,6.023
1681516800000,1009,533,27.154,2.903
1681516800000,1012,538,31.067,6.367
1681516800000,1016,561,27.54,5.247
1681516800000,1017,532,28.675,5.671
1681516800000,1008,571,29.137,3.982
1681516800000,1018,544,28.013,4.086
1681516800000,1020,571,26.137,5.502
1681516800000,1002,558,22.52,2.571
1681603200000,1000,567,22.019,2.416
1681603200000,1005,549,21.113,2.681
1681603200000,1004,240,19.792,2.602
1681603200000,1001,249,18.357,1.9
1681603200000,1013,276,27.199,5.627
1681603200000,1007,266,25.831,4.713
1681603200000,1010,239,21.803,2.721
1681603200000,1019,252,27.583,5.537
1681603200000,1016,280,27.207,5.404
1681603200000,1011,542,25.708,6.414
1681603200000,1002,537,22.507,2.709
1681603200000,1008,565,29.092,3.991
1681603200000,1006,525,22.933,3.874
1681603200000,1020,538,25.561,4.992
1681603200000,1009,574,27.143,2.932
1681603200000,1018,567,27.612,4.18
1681603200000,1014,522,26.423,6.061
1681603200000,1015,544,25.994,4.017
1681603200000,1003,535,18.301,2.382
1681603200000,1017,510,27.888,5.465
1681603200000,1012,519,30.505,6.408
1681689600000,1020,538,25.931,5.415
1681689600000,1014,542,26.137,5.705
1681689600000,1002,569,22.434,2.646
1681689600000,1010,568,21.891,2.797
1681689600000,1007,535,25.755,4.639
1681689600000,1016,558,27.138,5.324
1681776000000,1010,497,21.911,2.788
1681776000000,1019,479,27.944,5.334
1681776000000,1016,484,27.366,5.205
1681776000000,1015,553,26.613,4.014
1681776000000,1002,573,22.489,2.601
1681776000000,1005,561,21.053,2.728
1681776000000,1007,477,25.459,4.678
1681776000000,1006,548,22.569,3.719
1681776000000,1001,455,18.103,1.797
1681776000000,1013,486,27.626,5.595
1681776000000,1000,562,21.931,2.474
1681776000000,1012,561,31.123,6.148
1681776000000,1011,546,25.747,6.434
1681776000000,1018,573,28.136,4.297
1681776000000,1003,530,18.291,2.418
1681776000000,1004,461,19.631,2.771
1681776000000,1017,540,28.819,5.705
1681776000000,1014,564,26.644,5.688
1681776000000,1009,557,26.862,2.745
1681776000000,1020,528,25.985,5.541
1681776000000,1008,562,29.221,4.029
1681862400000,1002,547,22.559,2.594
1681862400000,1014,556,26.207,5.655
1681862400000,1017,544,28.138,5.519
1681862400000,1008,563,29.211,4.064
1681862400000,1020,550,25.913,5.342
1681862400000,1009,523,26.679,2.896
1681862400000,1012,558,30.538,6.276
1681862400000,1016,400,27.183,5.433
1681862400000,1019,376,28.21,5.339
1681862400000,1000,542,21.998,2.487
1681862400000,1003,557,18.415,2.409
1681862400000,1005,542,21.17,2.8
1681862400000,1010,364,21.788,2.694
1681862400000,1007,361,25.928,4.579
1681862400000,1011,554,25.912,6.673
1681862400000,1013,386,27.663,6.179
1681862400000,1004,396,19.737,2.723
1681862400000,1001,339,18.212,1.842
1681862400000,1006,552,23.063,3.957
1681862400000,1015,563,25.924,3.924
1681862400000,1018,563,27.867,4.239
1681948800000,1002,550,22.645,2.59
1681948800000,1006,561,23.086,4.106
1681948800000,1017,554,28.079,5.231
1681948800000,1008,567,29.131,4.046
1681948800000,1015,588,26.253,4.057
1681948800000,1000,537,22.069,2.413
1681948800000,1018,559,27.741,4.199
1681948800000,1009,542,26.921,2.784
1681948800000,1012,561,30.544,6.378
1681948800000,1003,555,18.483,2.381
1681948800000,1010,326,21.902,2.988
1681948800000,1016,324,27.062,5.279
1681948800000,1020,564,25.683,5.224
1681948800000,1014,561,26.476,6.088
1681948800000,1007,320,25.972,4.533
1681948800000,1004,306,19.833,2.673
1681948800000,1005,547,21.199,2.848
1681948800000,1013,313,27.083,5.843
1681948800000,1001,315,18.26,1.817
1681948800000,1011,562,25.861,6.362
1681948800000,1019,332,27.617,5.001
1682035200000,1003,564,18.551,2.367
1682035200000,1014,563,26.357,5.824
1682035200000,1005,570,21.304,2.857
1682035200000,1008,560,29.184,4.155
1682035200000,1009,542,26.839,2.83
1682035200000,1018,541,27.985,4.249
1682035200000,1000,560,22.007,2.293
1682035200000,1001,458,18.295,1.73
1682035200000,1019,488,28.211,5.576
1682035200000,1020,564,25.578,5.01
1682035200000,1011,530,25.894,6.607
1682035200000,1002,544,22.752,2.617
1682035200000,1016,469,27.337,5.333
1682035200000,1007,443,25.86,4.716
1682035200000,1006,561,22.706,3.668
1682035200000,1013,485,27.068,5.523
1682035200000,1004,498,19.916,2.639
1682035200000,1010,495,22.087,2.725
1682035200000,1015,546,26.289,4.074
1682035200000,1017,533,28.283,5.433
1682035200000,1012,570,30.586,6.375
1682121600000,1005,542,21.389,2.995
1682121600000,1006,587,23.092,3.89
1682121600000,1017,521,28.47,5.586
1682121600000,1014,546,26.747,6.44
1682121600000,1000,549,22.253,2.38
1682121600000,1018,562,27.9,4.205
1682121600000,1012,527,30.835,6.607
1682121600000,1015,573,26.213,4.065
1682121600000,1009,555,26.908,2.866
1682121600000,1003,560,18.414,2.301
1682121600000,1013,424,27.269,5.598
1682121600000,1004,457,19.945,2.865
1682121600000,1008,523,29.3,3.999
1682121600000,1011,573,25.738,6.493
1682121600000,1019,432,27.664,5.074
1682121600000,1001,443,18.296,1.852
1682121600000,1002,543,22.737,2.594
1682121600000,1016,459,27.357,5.642
1682121600000,1007,442,25.654,4.824
1682121600000,1020,539,26.154,5.493
1682121600000,1010,445,21.924,2.753
1682208000000,1003,555,18.384,2.261
1682208000000,1020,386,25.922,5.359
1682208000000,1002,410,22.605,2.56
1682208000000,1009,538,26.796,2.839
1682208000000,1008,419,29.289,4.016
1682208000000,1011,396,25.682,6.267
1682208000000,1015,550,25.987,3.99
1682208000000,1012,548,30.661,6.291
1682208000000,1018,531,28.079,4.228
1682208000000,1000,542,22.077,2.452
1682208000000,1005,418,21.486,2.968
1682208000000,1006,564,23.129,4.095
1682208000000,1017,400,27.703,4.974
1682208000000,1014,399,26.363,5.717
1682294400000,1015,553,26.241,4.06
1682294400000,1000,548,22.141,2.398
1682294400000,1018,565,27.681,4.094
1682294400000,1003,548,18.569,2.267
1682294400000,1006,539,23.206,4.006
1682294400000,1009,534,26.61,2.785
1682294400000,1012,556,30.863,6.52
1682467200000,1010,3,23.0,0.0
